"unique_id","Year","Title","Authors"
243689,2016,"Paris Agreement climate proposals need a boost to keep warming well below 2 degrees C","Rogelj, J; den Elzen, M; Hohne, N; Fransen, T; Fekete, H; Winkler, H; Chaeffer, RS; Ha, F; Riahi, K; Meinshausen, M"
245384,2019,"Peak of CO2 emissions in various sectors and provinces of China: Recent progress and avenues for further research","Jiang J., Ye B., Liu J."
246380,2020,"Performance evaluation and comparative analysis of trans-critical CO2 booster refrigeration systems with modified evaporative cooled gas cooler for supermarket application in Indian context","Lata, M; Gupta, DK"
248395,2018,"Photo-exposure affects subsequent peat litter decomposition","Foereid, B; Zarov, EA; Latysh, IM; Filippov, IV; Lapshina, ED"
250908,2020,"Planning for low carbon mobility: Impacts of transport interventions and location on carbon-based accessibility","Kinigadner J., BÃƒÂ¼ttner B., Wulfhorst G., Vale D."
255263,2021,"Potential development biomass power generation in Bali","Siagian U.W.R., Dewi R.G., Hendrawan I., Sitorus S."
256278,2019,"Potential roles of nitrate and live yeast culture in suppressing methane emission and influencing ruminal fermentation, digestibility, and milk production in lactating Jersey cows","Meller R.A., Wenner B.A., Ashworth J., Gehman A.M., Lakritz J., Firkins J.L."
258514,2015,"Preliminary assessment of CO2 storage potential in the H-59 Block in Jilin Oilfield CCS project","Zhang L., Li X., Ren B., Cui G.D., Ren S.R., Chen G.L."
259300,2018,"Present state and perspectives of variable renewable energies in Spain","GÃƒÂ³mez-Calvet R., MartÃƒÂ­nez-Duart J.M., Serrano Calle S."
260754,2018,"Producer cities and consumer cities: Using production- and consumption-based carbon accounts to guide climate action in China, the UK, and the US","Sudmant A., Gouldson A., Millward-Hopkins J., Scott K., Barrett J."
261580,2020,"Projected changes in wind speed and its energy potential in China using a high-resolution regional climate model","Guo J., Huang G., Wang X., Xu Y., Li Y."
261868,2021,"Projection of material flows and stocks in the urban transport sector until 2050-A scenario-based analysis for the city of Vienna","Gassner, A; Lederer, J; Kovacic, G; Mollay, U; Schremmer, C; Fellner, J"
265077,2020,"Quantifying potential savings from sustainable energy projects at a large public university: An energy efficiency assessment for texas state university","Mohammadalizadehkorde M., Weaver R."
361098,2016,"Waterbird response to management practices in rice fields intended to reduce greenhouse gas emissions","Sesser K.A., Reiter M.E., Skalos D.A., Strum K.M., Hickey C.M."
362232,2015,"Well-to-wheel life cycle assessment of transportation fuels derived from different North American conventional crudes","Rahman, MM; Canter, C; Kumar, A"
363107,2020,"What students know about climate change? a case study of high school students in Samboja, Indonesia","Nugroho A.W."
364557,2016,"Wind power deployment: The role of public participation in the decision-making process in Ontario, Canada","Jami A.A., Walsh P.R."
